Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Keynote - From Data Confusion to Data Intelligence,09/19/2023,09:00:00,09/19/2023,10:00:00,False,"Speaker: Elaine McVey & David Meza; Abstract: Data science teams operate in a unique environment, much different than the IT or software development life cycle. Hope from executives for the impact of data science is extremely high! Understanding of how to make data science efforts successful is very low! This creates an interesting set of organizational challenges for data and analytics teams. These are particularly clear when data science is being introduced at new companies, but plays out at organizations of all sizes. So, how do we navigate this dynamic? We’ll share some strategies for success.",Grand Ballroom
Keynote - A hackers guide to open source LLMs,09/19/2023,10:30:00,09/19/2023,11:30:00,False,"Speaker: Jeremy Howard; Abstract: Everyone is talking about open source large language models (LLMs), but if you want to get hacking with them, it's not easy to get started. Things are moving so quickly -- especially since the release of the breakthrough Llama2 models! In this talk Jeremy will explain the landscape, what you need to get started, and demonstrate what's possible with the latest tools.",Grand Ballroom
Talk - Developing a Prototyping Competency in a Statistical Science Organization,09/19/2023,13:00:00,09/19/2023,13:20:00,False,"Speaker: Daniel Woodie; Abstract: The introduction of new tools, methods, and processes can be a struggle within a statistical science organization. Being deliberate and investing in the creation of a prototyping competency can help in accelerating progress. Prototyping allows organizations to quickly experiment with new ideas, reduce the risk of failure, identify potential issues early, and iterate until the desired outcome is achieved. 

I will highlight the key areas we have focused on accelerating, our framework for developing this competency, how we use Shiny, and the lessons we've learned along the way. Developing a prototyping competency is crucial for statistical science organizations that wish to stay competitive and innovative in today's rapidly changing landscape.",Grand Ballroom A
Lightning - dplyr 1.1.0 Features You Can't Live Without,09/19/2023,13:00:00,09/19/2023,13:05:00,False,"Speaker: Davis Vaughan; Abstract: Did you enjoy my clickbait title? Did it work? Either way, welcome!

The dplyr 1.1.0 release included a number of new features, such as:
- Per-operation grouping with `.by`
- An overhaul to joins, including new inequality and rolling joins
- New `consecutive_id()` and `case_match()` helpers
- Significant performance improvements in `arrange()`

Join me as we take a tour of this exciting dplyr update, and learn how to use these new features in your own work!",Grand Ballroom CD
Talk - From Novices to Experts: Building a Community of Engaged R Users,09/19/2023,13:00:00,09/19/2023,13:20:00,False,"Speaker: Natalia Andriychuk; Abstract: At Pfizer, we have over 1500 users with R installed on their machines, along with an R community on MS Teams comprising over a thousand colleagues globally. How can we effectively engage with Pfizer R users and celebrate the successes of this community, while sharing best practices? Additionally, how do we avoid isolated groups duplicating efforts to solve R-related problems across different parts of the organization?
To address these challenges, we established the Pfizer R Center of Excellence (CoE) in early 2022. We focus our efforts on bringing together a rapidly growing community of colleagues, providing technical expertise, and offering best-practice guidance. A well-established, maintained and engaged R community promotes an inclusive and supportive learning environment that drives innovation within organizations. Our aim is to help colleagues thrive in their R journey, regardless of their expertise level.

During my talk, I will share the techniques we used to build a supportive R community, the tools employed to increase community engagement, and the successes and challenges encountered in building an engaging community of R users.",Grand Ballroom B
Talk - Reproducible Manuscripts with Quarto,09/19/2023,13:00:00,09/19/2023,13:20:00,False,"Speaker: Mine Çetinkaya-Rundel; Abstract: In this talk, we present a new capability in Quarto that provides a straightforward and user-friendly approach to creating truly reproducible manuscripts that are publication-ready for submission to popular journals. This new feature, Quarto manuscripts, includes the ability to produce a bundled output containing a standardized journal format, source documents, source computations, referenced resources, and execution information into a single bundle that is ingested into journal review and production processes. We'll demo how Quarto manuscripts work and how you can incorporate them into your current manuscript development process as well as touch on pain points in your current workflow that Quarto manuscripts help alleviate.",Grand Hall IJ
Lightning - What's New in the Torch Ecosystem,09/19/2023,13:05:00,09/19/2023,13:10:00,False,"Speaker: Daniel Falbel; Abstract: torch is an R port of PyTorch, a scientific computing library that enables fast and easy creation and training of deep learning models. 

In this talk, you will learn about the latest features and developments in torch, such as luz, a higher-level interface that simplifies your model training code, and vetiver, a new integration that allows you to deploy your torch models with just a few lines of code. You will also see how torch works well with other R packages and tools to enhance your data science workflow. Whether you are new to torch or already an experienced user, this talk will show you how torch can help you tackle your data science challenges and inspire you to build your own models.",Grand Ballroom CD
Lightning - Why You Should Add Logging To Your Code (and make it more helpful),09/19/2023,13:10:00,09/19/2023,13:15:00,False,"Speaker: Daren Eiri; Abstract: You've deployed code (API, Shiny App, Markdown) to production, but how do you know when something goes wrong in your code? 

I'll discuss how you can use logging packages like {log4r} in your Plumber-based APIs and make your logs available in a cloud-based data collection platform like Azure Monitor or AWS CloudWatch. By setting up alerts, you can get notified by email or text with descriptive error messages. 

With this solution, you can have more visibility into the health of your code in production.
",Grand Ballroom CD
Lightning - The People of Posit: Bringing Personality to R Packages,09/19/2023,13:15:00,09/19/2023,13:20:00,False,"Speaker: JP Flores & Sarah Parker; Abstract: The R programming language offers the versatility to perform statistical analyses, create publication-ready plots, and render high-quality reports and presentations. Despite having this environment of indispensable tools, it can be daunting for a beginner-level programmer to get started. Luckily, the Posit community is one of a kind and values inclusivity, collaboration, and empathy. By putting a face to the R packages we use on a daily basis, we hope to make every programmer feel included and capable. We want to inspire attendees to create their own projects or packages, connect with others inside and outside of their field of expertise, and challenge themselves to learn something new, knowing the community is right there to support them.",Grand Ballroom CD
"Lightning - CI/CD Pipelines - Oh, the Places You'll Go!",09/19/2023,13:20:00,09/19/2023,13:25:00,False,"Speaker: Trevor Nederlof; Abstract: Data scientists are creating incredibly useful data products at an accelerating rate. These products are consumed by others who expect them to be accurate reliable and timely, often promises unfulfilled. In this talk, we will explore how to use common CI/CD pipeline tools already within reach of attendees to automatically test and deploy their apps, APIs, and reports.",Grand Ballroom CD
